timestamp,machine_count,cycle_time,output_per_cycle,measurement_time,actual_output,theoretical_rate,actual_rate,efficiency
2026-09-06T18:10:12,11,0.583,1.0,160.0,2750.0,18.867924528301888,17.1875,91.09375
2026-09-06T18:12:41,11,0.583,1.0,160.0,2580.0,18.867924528301888,16.125,85.471875
2026-09-06T18:15:08,12,0.583,1.0,160.0,3000.0,20.58319039451115,18.75,91.095
2026-09-06T18:17:35,10,0.600,1.0,150.0,2200.0,16.666666666666668,14.666666666666666,88.0
2026-09-06T18:20:03,14,0.767,0.7,160.0,356.0,12.777053455019555,2.225,17.4140306122449
2026-09-06T18:23:29,9,0.800,1.2,180.0,2250.0,13.5,12.5,92.5925925925926
2026-09-06T18:26:14,11,1.000,1.5,124.45,2000.0,16.5,16.070711128967456,97.39824926646943
2026-09-06T18:29:42,13,0.650,1.0,150.0,2500.0,20.0,16.666666666666668,83.33333333333334
2026-09-06T18:32:17,8,0.583,1.0,160.0,1250.0,13.7221269296741,7.8125,56.9325
2026-09-06T18:35:51,15,0.750,1.0,180.0,3150.0,20.0,17.5,87.5
2026-09-06T18:39:04,12,0.900,1.0,150.0,1650.0,13.333333333333334,11.0,82.5
2026-09-06T18:42:38,11,0.583,1.0,120.0,2000.0,18.867924528301888,16.666666666666668,88.33333333333333
2026-09-06T18:46:09,14,0.700,1.2,170.0,3800.0,24.0,22.352941176470587,93.13725490196077
2026-09-06T18:49:27,10,1.100,1.5,200.0,2350.0,13.636363636363635,11.75,86.16666666666667
2026-09-06T18:52:55,13,0.625,1.0,155.0,2850.0,20.8,18.387096774193548,88.39950372340457
2026-09-06T18:56:21,11,0.950,1.5,130.0,1950.0,17.36842105263158,15.0,86.36363636363636
2026-09-06T18:59:46,16,0.600,0.8,180.0,3300.0,21.333333333333332,18.333333333333332,85.9375
2026-09-06T19:03:12,9,0.720,1.2,145.0,2200.0,15.0,15.172413793103448,100.01
2026-09-06T19:06:47,12,0.583,1.0,200.0,3150.0,20.58319039451115,15.75,76.52173913043478
2026-09-06T19:10:15,10,0.850,1.3,160.0,2150.0,15.294117647058824,13.4375,87.85714285714285
2026-09-06T19:13:44,11,0.583,1.0,160.0,2750.0,18.867924528301888,17.1875,91.09375
2026-09-06T19:17:09,12,0.583,1.0,160.0,2800.0,20.58319039451115,17.5,85.02083333333333
2026-09-06T19:20:36,13,0.600,1.0,180.0,3000.0,21.666666666666668,16.666666666666668,76.92307692307692
2026-09-06T19:24:02,10,0.700,1.5,150.0,2600.0,21.428571428571427,17.333333333333332,80.88888888888889
2026-09-06T19:27:31,14,0.650,0.8,160.0,2500.0,17.23076923076923,15.625,90.69767441860465
2026-09-06T19:31:08,8,0.900,1.2,200.0,1500.0,10.666666666666668,7.5,70.3125
2026-09-06T19:34:42,11,1.000,1.5,180.0,2500.0,16.5,13.88888888888889,84.17508417508418
2026-09-06T19:38:19,15,0.600,0.9,160.0,3100.0,22.5,19.375,86.11111111111111
2026-09-06T19:42:03,12,0.750,1.0,140.0,2100.0,16.0,15.0,93.75
2026-09-06T19:45:37,9,0.650,1.0,160.0,1350.0,13.846153846153847,8.4375,60.93752026-09-06T20:02:31,11,0.583,1.0,160.0,2750.0,18.867924528301888,17.1875,91.09375
2026-09-06T20:02:42,11,0.583,1.0,160.0,2750.0,18.867924528301888,17.1875,91.09375
2026-09-06T20:02:43,11,0.583,1.0,160.0,2750.0,18.867924528301888,17.1875,91.09375
